"name","series","model","currentProductUrl","productCategory","productType","magnetType","cleaningMode","availability","verifiedSpecCount","pendingSpecCount","imageCount","imageRights","applications","selectionInputs","supplierConfirmed","sourceStatus","duplicateLegacyRoutes"
"DCX Wet Fully Automatic Magnetic Separator","DCX","DCX","/en-za/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"GTC Wet Plate Magnetic Separator","GTC","GTC","/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"HJLH Wet Vertical-Ring High-Gradient Magnetic Separator","HJLH","HJLH","/en-za/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"HJPC Wet Disc Magnetic Separator","HJPC","HJPC","/en-za/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CLT Type Magnetic Desliming Tank","CLT","CLT","/en-za/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTB Type Semi-Countercurrent Wet Magnetic Separator","CTB","CTB","/en-za/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTDG Type Permanent Magnet Bulk Dry Magnetic Separator","CTDG","CTDG","/en-za/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator/","Magnetic Separation Equipment","Dry magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Dry mineral pre-concentration and beneficiation reviews | Prepared ore and bulk-material separation stages | Coal or mineral feed preparation where applicable | Recovery or cleaning stages subject to material assessment","Mineral type and magnetic response | Feed particle-size distribution and moisture | Feed rate and separation objective | Feed preparation, dust control and discharge arrangement | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTN Type Full Countercurrent Wet Magnetic Separator","CTN","CTN","/en-za/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTS Type Downstream Wet Pre Selection Machine","CTS","CTS","/en-za/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTZS Type Upward Suction Magnetic Separator","CTZS Type Upward Suction Magnetic Separator","To be confirmed","/en-za/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"HCG Type Dry Pre Selection Machine","HCG Type Dry Pre Selection Machine","To be confirmed","/en-za/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine/","Magnetic Separation Equipment","Dry magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Dry mineral pre-concentration and beneficiation reviews | Prepared ore and bulk-material separation stages | Coal or mineral feed preparation where applicable | Recovery or cleaning stages subject to material assessment","Mineral type and magnetic response | Feed particle-size distribution and moisture | Feed rate and separation objective | Feed preparation, dust control and discharge arrangement | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"HJLH Type Vertical-Ring High-Gradient Magnetic Separator","HJLH","HJLH","/en-za/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"LJK Type Magnetic Ore Iron Remover","LJK","LJK","/en-za/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"NCT Type Concentrated Magnetic Separator","NCT","NCT","/en-za/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"WBC Semi-Magnetic Tailings Recovery Machine","WBC","WBC","/en-za/products/magnetic-separation-equipment/wbc-semi-magnetic-tailings-recovery-machine/","Magnetic Separation Equipment","High-gradient or specialist mineral magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation projects with a defined magnetic-separation stage | Chrome, manganese, iron-bearing or other mineral streams subject to testwork | Tailings, recovery or upgrading reviews | Process lines where feed condition and target mineral response are confirmed","Mineral composition, objective and representative sample data | Particle-size distribution and dry or slurry feed condition | Target magnetic fraction and downstream process route | Water, slurry, power and installation constraints where applicable | Laboratory, pilot or plant test information where available","project confirmation required","synced-main-site-public-content",""
"CTN Type Specialized Magnetic Separator for Coal Washing","CTN","CTN","/en-za/products/magnetic-separation-equipment/ctn-type-specialized-magnetic-separator-for-coal-washing/","Magnetic Separation Equipment","Wet magnetic separator","wet_magnetic","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Mineral beneficiation circuits following feed and mineral assessment | Iron-bearing mineral recovery and concentration duties | Coal-washing magnetic separation stages where applicable | Tailings or process-stream recovery reviews","Mineral type and magnetic response | Feed particle-size distribution and target separation objective | Slurry density, water conditions and available process space | Required feed rate and downstream concentrate or tailings route | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content",""
"HMDN Coal Washing Special Magnetic Separator","HMDN","HMDN","/en-za/products/magnetic-separation-equipment/hmdn-coal-washing-special-magnetic-separator/","Magnetic Separation Equipment","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content",""
"DLS Type Window Metal Detector","DLS","DLS","/en-za/products/metal-detection-and-recycling-sorting/dls-type-window-metal-detector/","Metal Detection & Recycling Sorting","Industrial metal detector","metal_detection","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Crusher-feed and quarry conveyor protection | Coal and bulk-material handling lines | Mining and mineral-processing conveyors | Cement and aggregate material inspection","Detection aperture and conveyor geometry | Target metal, test-piece requirement and sensitivity objective | Material burden, particle size and conveyor speed | Alarm, stop or reject interlock requirement | Electrical supply and environmental conditions","project confirmation required","synced-main-site-public-content",""
"GJT Window Metal Detector","GJT","GJT","/en-za/products/metal-detection-and-recycling-sorting/gjt-type-window-metal-detector/","Metal Detection & Recycling Sorting","Industrial metal detector","metal_detection","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Crusher-feed and quarry conveyor protection | Coal and bulk-material handling lines | Mining and mineral-processing conveyors | Cement and aggregate material inspection","Detection aperture and conveyor geometry | Target metal, test-piece requirement and sensitivity objective | Material burden, particle size and conveyor speed | Alarm, stop or reject interlock requirement | Electrical supply and environmental conditions","project confirmation required","synced-main-site-public-content",""
"HECP Eddy Current Metal Sorting Machine","HECP","HECP","/en-za/products/metal-detection-and-recycling-sorting/hecp-eddy-current-metal-sorting-machine/","Metal Detection & Recycling Sorting","Eddy-current separator","eddy_current","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Recycling and material-recovery facilities | Prepared MRF and RDF streams | Non-ferrous recovery stages after suitable feed preparation | Industrial scrap sorting subject to feed assessment","Target non-ferrous metals and feed contamination | Feed particle-size range and material presentation | Required throughput and upstream ferrous removal stage | Belt width, splitter arrangement and discharge space | Power, dust control and maintenance access","project confirmation required","synced-main-site-public-content",""
"HECS Type Eddy Current Metal Sorting Machine","HECS","HECS","/en-za/products/metal-detection-and-recycling-sorting/hecs-type-eddy-current-metal-sorting-machine/","Metal Detection & Recycling Sorting","Eddy-current separator","eddy_current","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Recycling and material-recovery facilities | Prepared MRF and RDF streams | Non-ferrous recovery stages after suitable feed preparation | Industrial scrap sorting subject to feed assessment","Target non-ferrous metals and feed contamination | Feed particle-size range and material presentation | Required throughput and upstream ferrous removal stage | Belt width, splitter arrangement and discharge space | Power, dust control and maintenance access","project confirmation required","synced-main-site-public-content",""
"Drum Magnet","Drum Magnet","To be confirmed","/en-za/products/metal-detection-and-recycling-sorting/drum-magnet/","Metal Detection & Recycling Sorting","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content","/en-za/products/magnetic-separation-equipment/drum-magnet/"
"Eccentric Eddy Current Separator","Eccentric Eddy Current Separator","To be confirmed","/en-za/products/metal-detection-and-recycling-sorting/eccentric-eddy-current-separator/","Metal Detection & Recycling Sorting","Eddy-current separator","eddy_current","not_applicable","Available subject to project and supplier confirmation","0","9","1","COWIN product media supplied through the main-site product record","Recycling and material-recovery facilities | Prepared MRF and RDF streams | Non-ferrous recovery stages after suitable feed preparation | Industrial scrap sorting subject to feed assessment","Target non-ferrous metals and feed contamination | Feed particle-size range and material presentation | Required throughput and upstream ferrous removal stage | Belt width, splitter arrangement and discharge space | Power, dust control and maintenance access","project confirmation required","synced-main-site-public-content","/en-za/products/eddy-current-separator/"
"Electromagnet Separator","Electromagnet Separator","To be confirmed","/en-za/products/metal-detection-and-recycling-sorting/electromagnet-separator/","Metal Detection & Recycling Sorting","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content","/en-za/products/suspended-and-self-unloading-iron-removers/electromagnet-separator/"
"Magnetic Head Pulley","Magnetic Head Pulley","To be confirmed","/en-za/products/metal-detection-and-recycling-sorting/magnetic-head-pulley/","Metal Detection & Recycling Sorting","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content","/en-za/products/magnetic-separation-equipment/magnetic-head-pulley/ | /en-za/products/magnetic-head-pulley/"
"Stainless Steel Separation Conveyor","Stainless Steel Separation Conveyor","To be confirmed","/en-za/products/metal-detection-and-recycling-sorting/stainless-steel-separation-conveyor/","Metal Detection & Recycling Sorting","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content",""
"CBS Drawer Type Magnetic Filter","CBS Drawer Type Magnetic Filter","To be confirmed","/en-za/products/magnetic-components-and-filters/cbs-drawer-type-magnetic-filter/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"CLC Type Wet Slot Magnetic Filter","CLC","CLC","/en-za/products/magnetic-components-and-filters/clc-type-wet-slot-magnetic-filter/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"CTQ Type Roller Automatic Magnetic Separator","CTQ Type Roller Automatic Magnetic Separator","To be confirmed","/en-za/products/magnetic-components-and-filters/ctq-type-roller-automatic-magnetic-separator/","Magnetic Components & Filters","Dry magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Dry mineral pre-concentration and beneficiation reviews | Prepared ore and bulk-material separation stages | Coal or mineral feed preparation where applicable | Recovery or cleaning stages subject to material assessment","Mineral type and magnetic response | Feed particle-size distribution and moisture | Feed rate and separation objective | Feed preparation, dust control and discharge arrangement | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content","/en-za/products/magnetic-separation-equipment/ctq-type-roller-automatic-magnetic-separator/"
"CYG Wet Pipeline Magnetic Filter","CYG","CYG","/en-za/products/magnetic-components-and-filters/cyg-wet-pipeline-magnetic-filter/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"RCYZ Type Pipeline Magnetic Filter","RCYZ","RCYZ","/en-za/products/magnetic-components-and-filters/rcyz-type-pipeline-magnetic-filter/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"CLC Type Slot Magnetic Filter","CLC","CLC","/en-za/products/magnetic-components-and-filters/clc-type-slot-magnetic-filter/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"DHD Type Roller Type Automatic Magnetic Separator","DHD Type Roller Type Automatic Magnetic Separator","To be confirmed","/en-za/products/magnetic-components-and-filters/dhd-type-roller-type-automatic-magnetic-separator/","Magnetic Components & Filters","Dry magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Dry mineral pre-concentration and beneficiation reviews | Prepared ore and bulk-material separation stages | Coal or mineral feed preparation where applicable | Recovery or cleaning stages subject to material assessment","Mineral type and magnetic response | Feed particle-size distribution and moisture | Feed rate and separation objective | Feed preparation, dust control and discharge arrangement | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content","/en-za/products/magnetic-separation-equipment/dhd-type-roller-type-automatic-magnetic-separator/"
"DHJ Type Strong Roller Automatic Magnetic Separator","DHJ Type Strong Roller Automatic Magnetic Separator","To be confirmed","/en-za/products/magnetic-components-and-filters/dhj-type-strong-roller-automatic-magnetic-separator/","Magnetic Components & Filters","Dry magnetic separator","dry_magnetic","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Dry mineral pre-concentration and beneficiation reviews | Prepared ore and bulk-material separation stages | Coal or mineral feed preparation where applicable | Recovery or cleaning stages subject to material assessment","Mineral type and magnetic response | Feed particle-size distribution and moisture | Feed rate and separation objective | Feed preparation, dust control and discharge arrangement | Representative sample or plant test information where available","project confirmation required","synced-main-site-public-content","/en-za/products/magnetic-separation-equipment/dhj-type-strong-roller-automatic-magnetic-separator/"
"QCG Wet Roller Magnetic Separator","QCG Wet Roller Magnetic Separator","To be confirmed","/en-za/products/magnetic-components-and-filters/qcg-wet-roller-magnetic-separator/","Magnetic Components & Filters","Industrial magnetic-process auxiliary equipment","auxiliary","not_applicable","Available subject to project and supplier confirmation","0","7","1","COWIN product media supplied through the main-site product record","Mining and mineral-processing support duties | Bulk-material handling and conveyor projects | Process control or material-handling interfaces | Project-specific equipment packages","Required application duty and process position | Installation interface and available space | Material, electrical or control information where applicable | Environmental conditions and maintenance access | Project drawings or photographs where available","project confirmation required","synced-main-site-public-content","/en-za/products/magnetic-separation-equipment/qcg-wet-roller-magnetic-separator/"
"Drawer Magnet","Drawer Magnet","To be confirmed","/en-za/products/magnetic-components-and-filters/drawer-magnet/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"Hump Magnet","Hump Magnet","To be confirmed","/en-za/products/magnetic-components-and-filters/hump-magnet/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"Magnetic Grid","Magnetic Grid","To be confirmed","/en-za/products/magnetic-components-and-filters/magnetic-grid/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"Magnetic Rod","Magnetic Rod","To be confirmed","/en-za/products/magnetic-components-and-filters/magnetic-rod/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"Magnetic Trap","Magnetic Trap","To be confirmed","/en-za/products/magnetic-components-and-filters/magnetic-trap/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"Rotary Pipe Magnet","Rotary Pipe Magnet","To be confirmed","/en-za/products/magnetic-components-and-filters/rotary-pipe-magnet/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
"Permanent Magnetic Filter Bar (Neodymium Rod)","Permanent Magnetic Filter Bar (Neodymium Rod)","To be confirmed","/en-za/products/magnetic-components-and-filters/permanent-filter-bar-magnetic-neodymium-rod/","Magnetic Components & Filters","Magnetic filter or separator component","filter","not_applicable","Available subject to project and supplier confirmation","0","8","1","COWIN product media supplied through the main-site product record","Gravity-fed bulk-material streams | Pipeline or chute installations subject to connection confirmation | Powder, granule or processed-material contamination control | Industrial process lines where cleaning access can be provided","Material type, particle size and flow condition | Opening, pipe connection or installation envelope | Flow rate, pressure, temperature and material properties where applicable | Expected contamination and required cleaning interval | Access for safe cleaning and maintenance","project confirmation required","synced-main-site-public-content",""
